State,Income Per Capita
Alabama,"60,660"
Alaska,"98,190"
Arizona,"82,660"
Arkansas,"63,250"
California,"89,870"
Colorado,"96,640"
Connecticut,"92,240"
Delaware,"86,340"
District of Columbia,"111,000"
Florida,"72,200"
Georgia,"72,420"
Hawaii,"97,360"
Idaho,"73,910"
Illinois,"87,820"
Indiana,"76,910"
Iowa,"80,860"
Kansas,"84,830"
Kentucky,"61,980"
Louisiana,"57,650"
Maine,"75,740"
Maryland,"102,000"
Massachusetts,"106,500"
Michigan,"76,960"
Minnesota,"90,340"
Mississippi,"55,060"
Missouri,"78,290"
Montana,"79,220"
Nebraska,"89,190"
Nevada,"81,310"
New Hampshire,"98,780"
New Jersey,"91,590"
New Mexico,"60,980"
New York,"81,600"
North Carolina,"68,610"
North Dakota,"76,960"
Ohio,"73,770"
Oklahoma,"67,330"
Oregon,"88,740"
Pennsylvania,"79,820"
Rhode Island,"81,860"
South Carolina,"69,100"
South Dakota,"81,740"
Tennessee,"72,700"
Texas,"79,060"
Utah,"101,200"
Vermont,"85,190"
Virginia,"96,490"
Washington,"93,440"
West Virginia,"60,410"
Wisconsin,"79,690"
Wyoming,"77,200"
