YearStart,YearEnd,StateAbbr,State,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategoryID1
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,26.3,Sex,Female,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,53.3,Age,Age 45-64,,,AGE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,66.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,33,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,12.5,Age,Age 18-44,,,AGE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,55.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,35.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,40.8,Sex,Female,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,53.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
